realization,time,region,value,ci_name,ci_frequency,ci_package_name,ci_package_reference,standard_name,units
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1950-07-15,WASCAL,298.17273,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1951-07-15,WASCAL,298.40036,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1952-07-15,WASCAL,298.56113,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1953-07-15,WASCAL,298.98065,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1954-07-15,WASCAL,298.8459,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1955-07-15,WASCAL,298.01562,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1956-07-15,WASCAL,297.74396,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1957-07-15,WASCAL,297.74216,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1958-07-15,WASCAL,298.10385,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1959-07-15,WASCAL,298.2869,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1960-07-15,WASCAL,298.31955,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1961-07-15,WASCAL,297.85287,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1962-07-15,WASCAL,298.32846,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1963-07-15,WASCAL,298.25772,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1964-07-15,WASCAL,297.54803,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1965-07-15,WASCAL,298.0028,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1966-07-15,WASCAL,297.65173,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1967-07-15,WASCAL,297.72873,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1968-07-15,WASCAL,298.52826,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1969-07-15,WASCAL,298.77866,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1970-07-15,WASCAL,297.93042,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1971-07-15,WASCAL,298.16287,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1972-07-15,WASCAL,298.2194,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,1973-07-15,WASCAL,298.5135,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
